Test,Round,Demand,Accept
26,3,529.5211621292375,0.5625
26,4,553.7257955734766,0.4375
26,5,558.5282056806403,0.5
26,6,555.8921166582297,0.4375
26,7,553.4497751576464,0.5
26,8,553.0600287678744,0.4375
26,9,552.54626697043,0.5
26,10,552.7272886712988,0.375
27,1,583.2533148123008,0.9375
27,2,566.5227482212695,0.5625
27,3,583.0677855982052,0.5625
27,4,616.041012532878,0.3125
27,5,597.6521232600924,0.4375
27,6,605.5539069166894,0.375
27,7,606.4780639854708,0.5
27,8,623.6331073763209,0.3125
27,9,614.2307878858312,0.3125
27,10,609.443789858815,0.375
28,1,567.5401038587733,0.875
28,2,527.3844889094036,0.6875
28,3,556.2623455695181,0.4375
28,4,558.6415293121729,0.5
28,5,561.6620833621583,0.5
28,6,553.7961453932604,0.4375
28,7,572.2809293613623,0.5
28,8,578.8315763258703,0.4375
28,9,580.9977096052561,0.5
28,10,581.3060470351213,0.5
29,1,553.2351709642867,0.75
29,2,563.5491186029468,0.5
29,3,577.6910506545338,0.4375
29,4,569.4317633050487,0.5
29,5,576.6761443267267,0.5
29,6,573.2115619743595,0.4375
29,7,571.9737465241294,0.4375
29,8,570.3768247361972,0.5
29,9,570.157041872153,0.5
29,10,569.8653809351132,0.5
30,1,556.4915122237503,0.8125
30,2,570.8015090005987,0.5625
30,3,591.8413889758286,0.5
30,4,584.6580658259395,0.4375
30,5,605.7585079609387,0.375
30,6,602.6242765194833,0.375
30,7,593.4960019395583,0.5
30,8,605.5753415846939,0.3125
30,9,620.2312944526516,0.3125
30,10,620.2593626669022,0.4375
31,1,564.1262546073307,0.6875
31,2,582.5549881237184,0.375
31,3,575.3806477114024,0.4375
31,4,567.6866498107829,0.5
31,5,568.1245570992746,0.5625
31,6,573.8951153507468,0.4375
31,7,574.8827474650437,0.5
31,8,575.9707363305333,0.375
31,9,575.2586368424575,0.3125
31,10,574.8450503838292,0.5
32,1,539.7238905976092,0.5625
32,2,541.417323111745,0.625
32,3,549.5018281857328,0.5625
32,4,553.4071223550217,0.375
32,5,548.5157914377696,0.4375
32,6,555.9750923092993,0.625
32,7,547.5022250995523,0.5
32,8,559.3944240702234,0.4375
32,9,557.4791024387503,0.4375
32,10,558.3737844927189,0.4375
33,1,553.1500355596088,0.5625
33,2,517.2875888823447,0.5625
33,3,548.126747061079,0.4375
33,4,585.7979215095863,0.4375
33,5,570.6567870526952,0.5
33,6,560.8631384233843,0.5625
33,7,565.5492995966251,0.375
33,8,564.7697978637866,0.4375
33,9,565.07487896477,0.4375
33,10,564.8778223496643,0.5
34,1,578.4677395349503,0.75
34,2,608.8820685604851,0.4375
34,3,564.3127102942901,0.6875
34,4,622.6542939135765,0.4375
34,5,627.1452895773737,0.375
34,6,626.0028352448248,0.375
34,7,623.2124382585207,0.375
34,8,622.892105768574,0.4375
34,9,622.6573204387282,0.4375
34,10,622.4747222903229,0.5
35,1,573.5808948583243,0.5625
35,2,543.2260551767531,0.5
35,3,582.0366330206045,0.5625
35,4,571.0767206143535,0.375
35,5,580.800952908877,0.5
35,6,580.3079442895679,0.375
35,7,576.7328898781432,0.3125
35,8,574.6104870142121,0.4375
35,9,574.0730890531233,0.5
35,10,573.7834638165729,0.625
36,1,557.4322520313294,0.75
36,2,545.2954829441003,0.5625
36,3,554.1351364321575,0.5625
36,4,582.6625058462367,0.5
36,5,567.5054371600064,0.5625
36,6,588.4249002487632,0.4375
36,7,585.4565058878226,0.5
36,8,584.4408127245119,0.3125
36,9,583.4962223415054,0.4375
36,10,583.0323465537226,0.4375
37,1,534.6241971154924,0.75
37,2,554.8095671309295,0.625
37,3,558.3674425238765,0.375
37,4,569.7611666020126,0.3125
37,5,564.0010464850446,0.4375
37,6,562.8615504981394,0.5625
37,7,564.853530460571,0.3125
37,8,563.654764793562,0.4375
37,9,563.2585285342107,0.4375
37,10,563.1373278162492,0.5
38,1,559.8588920417434,0.75
38,2,559.0638612716923,0.375
38,3,585.8916492788612,0.3125
38,4,571.1685714454877,0.5
38,5,602.9108511478286,0.3125
38,6,590.3425606978477,0.25
38,7,584.040694452556,0.4375
38,8,587.7212867484699,0.4375
38,9,581.7494649212468,0.4375
38,10,578.1121313736858,0.4375
39,1,587.0835946434763,0.75
39,2,553.6078087813198,0.75
39,3,559.7238407796822,0.5
39,4,574.198879851737,0.5625
39,5,595.5143530353469,0.3125
39,6,597.3240147679626,0.4375
39,7,600.8099426051217,0.375
39,8,606.6506831541689,0.5
39,9,606.4911920469272,0.4375
39,10,606.4552083327977,0.5
40,1,551.3275839238959,0.625
40,2,533.621430167275,0.5
40,3,525.9536013474874,0.5625
40,4,541.492949419062,0.375
40,5,556.5944429692074,0.4375
40,6,560.2782858218885,0.3125
40,7,548.2938438963369,0.375
40,8,544.7936151801,0.5
40,9,544.8472568172331,0.5625
40,10,544.8078683690565,0.5
41,1,565.9203199142052,0.8125
41,2,580.0219644571373,0.4375
41,3,581.6726843504648,0.5
41,4,605.4205357621031,0.25
41,5,597.453470249253,0.4375
41,6,598.7890686573918,0.5
41,7,598.023744974153,0.4375
41,8,597.8504630647287,0.5
41,9,597.7638221100167,0.375
41,10,597.6646935099561,0.375
42,1,533.2303596714424,0.75
42,2,588.6568848172783,0.3125
42,3,564.8218875690246,0.4375
42,4,578.2378418551709,0.5
42,5,573.7271329679958,0.5
42,6,571.758794902825,0.5
42,7,573.9215868823,0.375
42,8,573.1393364421081,0.5625
42,9,573.7824890983823,0.375
42,10,573.4401333137181,0.4375
43,1,534.0129286622946,0.6875
43,2,502.90825800755437,0.5625
43,3,538.3116326060783,0.5
43,4,567.7872461070109,0.3125
43,5,568.6848534987365,0.375
43,6,544.301219339048,0.4375
43,7,541.5028588143387,0.5625
43,8,543.9813680706778,0.4375
43,9,543.2817779395004,0.5
43,10,543.4749131456516,0.4375
44,1,535.2320452015479,0.75
44,2,505.71132364925614,0.6875
44,3,551.3698898118708,0.3125
44,4,570.0017395930892,0.375
44,5,561.3223517274859,0.4375
44,6,558.6755345827912,0.375
44,7,557.0265200850005,0.375
44,8,555.8649178264958,0.375
44,9,555.3715545925356,0.5
44,10,555.1248729755555,0.375
45,1,567.6321085469707,0.8125
45,2,569.2983651745842,0.4375
45,3,582.40799232539,0.5
45,4,570.0412957144756,0.4375
45,5,583.021693981862,0.5
45,6,586.4482335712756,0.3125
45,7,585.7382205829155,0.4375
45,8,585.393119619111,0.5
45,9,584.9773575880824,0.4375
45,10,585.0242231004164,0.5
46,1,575.1092646188127,0.8125
46,2,570.3506525217235,0.625
46,3,515.4957394534276,0.5625
46,4,537.297394421257,0.625
46,5,558.6439308321462,0.4375
46,6,557.3038129648537,0.375
46,7,569.093780117069,0.4375
46,8,588.9013339244672,0.4375
46,9,591.678233022527,0.25
46,10,591.5459707051722,0.4375
47,1,617.7395746071404,0.625
47,2,509.68771848039927,0.875
47,3,572.526947829795,0.5
47,4,607.8440991368665,0.375
47,5,607.5168423315821,0.4375
47,6,623.432004509069,0.25
47,7,618.1637281590026,0.3125
47,8,615.3713133402116,0.4375
47,9,614.4289188874154,0.375
47,10,615.0505685733075,0.3125
48,1,602.389037760398,1
48,2,560.5456697332422,0.5625
48,3,574.549721734517,0.5
48,4,619.4758243809722,0.375
48,5,611.8895315606306,0.3125
48,6,625.9201599593445,0.4375
48,7,626.4463640130963,0.375
48,8,626.9357825223807,0.4375
48,9,625.0089269093322,0.4375
48,10,624.2386505399054,0.25
49,1,534.0073725038642,0.8125
49,2,501.8448888554477,0.6875
49,3,554.3235033879268,0.25
49,4,558.4710280938758,0.4375
49,5,563.8247072946208,0.4375
49,6,565.3417633433243,0.375
49,7,565.6074675272666,0.375
49,8,566.1873061677169,0.5
49,9,566.1301570912802,0.4375
49,10,566.3922058301388,0.5
50,1,559.3286433958128,0.875
50,2,555.3442838456776,0.5
50,3,560.7308239333987,0.375
50,4,583.9713316394761,0.375
50,5,584.3027108775576,0.375
50,6,584.1871691030179,0.375
50,7,584.320834443302,0.4375
50,8,584.5532067620043,0.5
50,9,584.2761824885533,0.4375
50,10,583.9582842236234,0.4375
